,blog_id,url,user,date,text,sentiment,toxicity
0,678,http://warrenkinsella.com/2019/01/jagmeet-singh-and-the-first-kinsellian-political-rule/,1,2019-01-10 14:36:00,Why havent they extended the leaders courtesy like the Greens have and pledge not to run someone against him There was a period that it seemed like the Liberals wouldnt run someone against him the reason I think they did is because they feared the real reason they were doing so was because Singh is such an anchor for the NDP would be too obvious and the NDP would find another way to be rid of him Its still a huge political miscalculation that could if things go right for the NDP backfire on the Liberals because the NDP cant help but go up if we dump Singh,0.147619,0.38215008
1,678,http://warrenkinsella.com/2019/01/jagmeet-singh-and-the-first-kinsellian-political-rule/,2,2019-01-10 19:02:00,Coyne is wrong that the delay in calling it makes it more difficult for the nds to replace Singh Six months is plenty of time It also will generate some publicity especially if a better leader comes to the fore Dont discount the possibility that the cpc May quietly urge their supporters to vote LPC But Im not sure Singh wont lose it all on his own  he seems so inept,0.121429,0.40878537
2,674,http://warrenkinsella.com/2019/01/this-cabinet-shuffle-is-a-joke/,3,2019-01-14 12:04:00,Agree about WilsonRaybould but going to Treasury Board from Indigenous Services is not a demotion for most observers,0.5,0.07112635
3,674,http://warrenkinsella.com/2019/01/this-cabinet-shuffle-is-a-joke/,Blogger,2019-01-14 12:34:00,If your idea of fun is saying no all day sure,0.4,0.074715234
4,674,http://warrenkinsella.com/2019/01/this-cabinet-shuffle-is-a-joke/,4,2019-01-14 12:53:00,I didnt think this current Govt ever said no,0.0,0.04635142
5,674,http://warrenkinsella.com/2019/01/this-cabinet-shuffle-is-a-joke/,5,2019-01-14 16:10:00,Ian Funny I was thinking the same thing as our host yesterday morning about Philpott I was under the impression that no minister of the crown has ever earned as much confidence and consideration from First Nations as this minister And that includes Chrtien,0.175,0.07356488
6,674,http://warrenkinsella.com/2019/01/this-cabinet-shuffle-is-a-joke/,3,2019-01-15 12:47:00,I would not disagree with that and I dont disagree with Warrens take that TB is not much fun But it is central and therefore powerful By contrast most ministers in the past 40 years or so have been happy to get out of INAC before they are damagedas long as they dont get Veterans another profoundly dysfunctional department Getting RW out of Justice suggests to me that a horrific bodgejob on the energy file is coming soon likely at the expense of the First Nations consultations process that looked so easy to them until they tried it,0.076389,0.17497939
7,674,http://warrenkinsella.com/2019/01/this-cabinet-shuffle-is-a-joke/,5,2019-01-15 16:07:00,Ian In my book First Nations should be enshrined in the constitution as the fourth order of government I would support a limited veto power to the extent that any project would have to reflect their demands and interests as nations How you grease the wheel in their favour without grinding things to an absolute halt is beyond my pay grade But mere consultations is hardly the appropriate remedy It is beyond disrespectful and makes a sham of the stakeholder process,-0.014137,0.16020417
8,674,http://warrenkinsella.com/2019/01/this-cabinet-shuffle-is-a-joke/,3,2019-01-15 19:14:00,It is horribly unclear The requirement to consult meaningfully ends up being a very vague requirement when you try to translate into the language of negotiation Do FNs have a veto Or do corporationsgovernment simply have to keep them well informed and listen to their concerns If you accommodate half of the concerns raised was it meaningful That said it is just shocking how bad so many resource companies are at doing it The vagueness is a known problem that doesnt go away by doing the bare minimum Dork in East York says  January 14 2019 at 117 pm I was hoping sharp Toronto MP Arif Virani could have squeezed in Damn regional balance Warren are you picking up frustration from some ambitiousveteran Parliamentary Secretaries who have yet to crack the cabinet Im hearing more than a few,-0.137821,0.43855911
9,674,http://warrenkinsella.com/2019/01/this-cabinet-shuffle-is-a-joke/,Blogger,2019-01-14 15:32:00,You have no idea,0.0,0.09355702
